Year,Hourly Minimum Wage in NJ,"Average Price of White Bread, lb.","# of Bread You Can Afford Per Hour, lbs."
1980,3.1,0.576,5
1981,3.35,0.599,5
1982,3.35,0.618,5
1983,3.35,0.641,5
1984,3.35,0.669,5
1985,3.35,0.697,4
1986,3.35,0.677,4
1987,3.35,0.705,4
1988,3.35,0.776,4
1989,3.35,0.844,3
1990,3.35,0.865,3
1991,3.8,0.883,4
1992,4.25,0.905,4
1993,4.25,0.843,5
1994,5.05,0.838,6
1995,5.05,0.828,6
1996,5.05,0.913,5
1997,5.05,0.905,5
1998,5.05,0.986,5
1999,5.05,1.049,4
2000,5.15,1.045,4
2001,5.15,1.094,4
2002,5.15,1.13,4
2003,5.15,1.307,3
2004,5.15,1.383,3
2005,5.15,1.474,3
2006,6.15,1.437,4
2007,7.15,1.501,4
2008,7.15,1.713,4
2009,7.15,1.73,4
2010,7.25,1.726,4
2011,7.25,1.632,4
2012,7.25,1.553,4
2013,7.25,1.442,5
2014,8.25,1.427,5
2015,8.38,1.531,5
2016,8.38,1.406,5
2017,8.44,1.285,6
2018,8.6,1.171,7
2019,10,1.182,8
2020,11,1.392,7
2021,12,1.638,7
2022,13,1.797,7
2023,14.13,2.008,7
2024,15.13,2.014,7
