Year,Hourly Minimum Wage in NJ,"Average Price of Fresh Whole Milk, gal.","# of Milk You Can Afford Per Hour, gal."
1995,5.05,2.472,2
1996,5.05,2.601,1
1997,5.05,2.608,1
1998,5.05,2.67,1
1999,5.05,2.789,1
2000,5.15,2.745,1
2001,5.15,2.884,1
2002,5.15,2.757,1
2003,5.15,2.761,1
2004,5.15,3.156,1
2005,5.15,3.187,1
2006,6.15,3.081,1
2007,7.15,3.629,1
2008,7.15,3.773,1
2009,7.15,3.145,2
2010,7.25,3.228,2
2011,7.25,3.482,2
2012,7.25,3.493,2
2013,7.25,3.462,2
2014,8.25,3.935,2
2015,8.38,3.69,2
2016,8.38,3.481,2
2017,8.44,3.564,2
2018,8.6,3.357,2
2019,10,3.587,2
2020,11,3.736,2
2021,12,3.964,3
2022,13,4.479,2
2023,14.13,4.364,3
2024,15.13,4.416,3
