Year,Hourly Minimum Wage in NJ,"Average Price of Potato Chips, 16 oz.","# of Potato Chips You Can Afford Per Hour, 16 oz."
1980,3.1,2.015,1
1981,3.35,2.307,1
1982,3.35,2.433,1
1983,3.35,2.5,1
1984,3.35,2.606,1
1985,3.35,2.669,1
1986,3.35,2.7,1
1987,3.35,2.649,1
1988,3.35,2.438,1
1989,3.35,2.846,1
1990,3.35,2.889,1
1991,3.8,2.885,1
1992,4.25,2.767,1
1993,4.25,2.83,1
1994,5.05,3.016,1
1995,5.05,3.005,1
1996,5.05,2.881,1
1997,5.05,2.911,1
1998,5.05,2.878,1
1999,5.05,3.126,1
2000,5.15,3.359,1
2001,5.15,3.426,1
2002,5.15,3.356,1
2003,5.15,3.295,1
2004,5.15,3.157,1
2005,5.15,3.395,1
2006,6.15,3.522,1
2007,7.15,3.874,1
2008,7.15,4.508,1
2009,7.15,4.871,1
2010,7.25,4.758,1
2011,7.25,4.685,1
2012,7.25,4.687,1
2013,7.25,4.569,1
2014,8.25,4.372,1
2015,8.38,4.53,1
2016,8.38,4.633,1
2017,8.44,4.54,1
2018,8.6,3.862,2
2019,10,3.781,2
2020,11,4.242,2
2021,12,4.356,2
2022,13,5.116,2
2023,14.13,5.774,2
2024,15.13,6.008,2
